"Time","Potential"
1.140,0.006
1.142,0.006
1.144,0.006
1.146,0.003
1.148,0.003
1.150,0.012
1.152,0.003
1.154,0.003
1.156,0.006
1.158,0.006
1.160,0.012
1.162,0.003
1.164,0.000
1.166,0.012
1.168,0.012
1.170,-0.006
1.172,0.006
1.174,0.009
1.176,0.009
1.178,0.009
1.180,0.006
1.182,0.006
1.184,0.006
1.186,0.003
1.188,0.006
1.190,0.009
1.192,0.012
1.194,-0.006
1.196,0.006
1.198,0.006
1.200,0.009
1.202,0.012
1.204,0.012
1.206,0.012
1.208,0.012
1.210,0.006
1.212,0.006
1.214,0.006
1.216,0.009
1.218,0.012
1.220,0.006
1.222,0.006
1.224,0.006
1.226,0.003
1.228,0.006
1.230,0.006
1.232,0.012
1.234,0.006
1.236,-0.006
1.238,0.006
1.240,0.009
1.242,0.012
1.244,0.009
1.246,0.012
1.248,0.009
1.250,0.009
1.252,0.006
1.254,0.006
1.256,0.009
1.258,0.012
1.260,-0.006
1.262,0.006
1.264,0.006
1.266,0.006
1.268,0.006
1.270,0.006
1.272,0.009
1.274,0.009
1.276,0.006
1.278,0.009
1.280,0.009
1.282,0.012
1.284,0.012
1.286,0.009
1.288,0.009
1.290,0.015
1.292,0.006
1.294,0.006
1.296,0.006
1.298,0.012
1.300,0.006
1.302,0.009
1.304,0.009
1.306,-0.006
1.308,-0.006
1.310,0.006
1.312,0.012
1.314,0.012
1.316,0.003
1.318,0.003
1.320,0.006
1.322,0.009
1.324,0.012
1.326,0.009
1.328,0.012
1.330,0.012
1.332,0.006
1.334,0.006
1.336,0.006
1.338,0.009
1.340,0.009
1.342,-0.006
1.344,-0.006
1.346,0.006
1.348,0.006
1.350,0.006
1.352,0.012
1.354,0.015
1.356,0.015
1.358,0.006
1.360,0.006
1.362,0.012
1.364,0.009
1.366,0.006
1.368,0.006
1.370,0.009
1.372,0.003
1.374,0.006
1.376,0.006
1.378,0.006
1.380,0.015
1.382,0.006
1.384,0.006
1.386,0.003
1.388,0.009
1.390,0.009
1.392,0.009
1.394,0.009
1.396,0.012
1.398,0.006
