"Time","Potential"
1.262,1.491
1.264,1.491
1.266,1.485
1.268,1.479
1.270,1.482
1.272,1.482
1.274,1.485
1.276,1.473
1.278,1.482
1.280,1.479
1.282,1.479
1.284,1.488
1.286,1.488
1.288,1.473
1.290,1.476
1.292,1.479
1.294,1.476
1.296,1.482
1.298,1.476
1.300,1.473
1.302,1.467
1.304,1.476
1.306,1.476
1.308,1.479
1.310,1.476
1.312,1.476
1.314,1.476
1.316,1.473
1.318,1.476
1.320,1.476
1.322,1.476
1.324,1.473
1.326,1.470
1.328,1.473
1.330,1.473
1.332,1.479
1.334,1.479
1.336,1.476
1.338,1.470
1.340,1.473
1.342,1.476
1.344,1.479
1.346,1.470
1.348,1.473
1.350,1.470
1.352,1.470
1.354,1.473
1.356,1.476
1.358,1.461
1.360,1.467
1.362,1.470
1.364,1.473
1.366,1.476
1.368,1.476
1.370,1.470
1.372,1.464
1.374,1.470
1.376,1.473
1.378,1.473
1.380,1.473
1.382,1.476
1.384,1.473
1.386,1.473
1.388,1.473
1.390,1.473
1.392,1.476
1.394,1.470
1.396,1.467
1.398,1.470
1.400,1.470
1.402,1.473
1.404,1.476
1.406,1.473
1.408,1.470
1.410,1.470
1.412,1.473
1.414,1.476
1.416,1.467
1.418,1.470
1.420,1.470
1.422,1.470
1.424,1.476
1.426,1.476
1.428,1.461
1.430,1.470
1.432,1.473
1.434,1.473
1.436,1.473
1.438,1.470
1.440,1.470
1.442,1.458
1.444,1.467
1.446,1.473
1.448,1.473
1.450,1.473
1.452,1.464
1.454,1.467
1.456,1.467
1.458,1.470
1.460,1.470
1.462,1.473
1.464,1.461
1.466,1.461
1.468,1.464
1.470,1.464
1.472,1.467
1.474,1.470
1.476,1.461
1.478,1.455
1.480,1.461
1.482,1.458
1.484,1.464
1.486,1.449
1.488,1.458
1.490,1.458
1.492,1.461
1.494,1.464
1.496,1.470
1.498,1.452
1.500,1.461
1.502,1.464
1.504,1.464
1.506,1.470
1.508,1.464
1.510,1.467
1.512,1.452
1.514,1.461
1.516,1.467
1.518,1.470
1.520,1.470
1.522,1.464
1.524,1.464
1.526,1.464
1.528,1.464
1.530,1.464
1.532,1.464
1.534,1.461
1.536,1.455
1.538,1.458
1.540,1.458
1.542,1.461
